NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;0;1;3:58.481;0;;2:27.502;0;58.768;0;32.211;0;103.9;3:58.481;15:38:58.481;2:27.502;0:58.768;0:32.211;294.5;Neel JANI;0:01:57.543;LMP1;;Rebellion Racing;Rebellion;
1;0;2;5:22.349;0;B;1:39.338;0;2:10.548;0;1:32.463;0;78.2;9:20.830;15:44:20.830;1:39.338;2:10.548;1:32.463;78.1;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;3;5:44.340;0;;4:13.374;0;58.634;0;32.332;0;73.2;15:05.169;15:50:05.170;4:13.374;0:58.634;0:32.332;300.2;Neel JANI;0:03:48.334;LMP1;;Rebellion Racing;Rebellion;
1;0;4;1:56.586;0;;33.362;0;52.873;1;30.351;1;216.3;17:01.755;15:52:01.756;0:33.362;0:52.873;0:30.351;297.7;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;5;3:54.246;0;B;33.360;1;1:49.743;0;1:31.143;0;107.6;20:56.001;15:55:56.002;0:33.360;1:49.743;1:31.143;304.4;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;2;6;36:07.919;0;;34:41.721;0;55.058;0;31.140;0;11.6;57:03.918;16:32:03.921;34:41.721;0:55.058;0:31.140;298.5;Bruno SENNA;0:34:17.386;LMP1;;Rebellion Racing;Rebellion;
1;2;7;1:56.987;0;;33.503;0;53.112;0;30.372;0;215.5;59:00.905;16:34:00.908;0:33.503;0:53.112;0:30.372;302.7;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;8;1:56.264;2;;33.316;2;52.698;3;30.250;2;216.9;1:00:57.169;16:35:57.172;0:33.316;0:52.698;0:30.250;307.8;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
1;2;9;2:07.541;0;B;34.934;0;54.432;0;38.175;0;197.7;1:03:04.710;16:38:04.713;0:34.934;0:54.432;0:38.175;306.1;Bruno SENNA;;LMP1;;Rebellion Racing;Rebellion;
10;2;1;3:52.680;0;;2:19.977;0;1:00.397;0;32.306;0;106.5;3:52.680;15:38:52.680;2:19.977;1:00.397;0:32.306;275.0;Pietro FITTIPALDI;0:01:45.179;LMP1;;DragonSpeed;BR Engineering;
10;2;2;4:50.791;0;B;1:06.691;0;2:09.852;0;1:34.248;0;86.7;8:43.471;15:43:43.471;1:06.691;2:09.852;1:34.248;77.7;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
10;2;3;6:31.530;0;;4:57.247;0;58.273;0;36.010;0;64.4;15:15.000;15:50:15.001;4:57.247;0:58.273;0:36.010;292.1;Pietro FITTIPALDI;0:04:29.746;LMP1;;DragonSpeed;BR Engineering;
10;2;4;1:59.158;2;;34.340;2;54.033;2;30.785;2;211.6;17:14.158;15:52:14.159;0:34.340;0:54.033;0:30.785;308.7;Pietro FITTIPALDI;;LMP1;;DragonSpeed;BR Engineering;
11;1;1;4:07.258;0;;2:26.458;0;1:04.899;0;35.901;0;100.2;4:07.258;15:39:07.258;2:26.458;1:04.899;0:35.901;267.6;Vitaly PETROV;0:01:55.280;LMP1;;SMP Racing;BR Engineering;
11;1;2;5:19.021;0;B;1:34.676;0;2:09.205;0;1:35.140;0;79.0;9:26.279;15:44:26.279;1:34.676;2:09.205;1:35.140;79.6;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
