NUMBER; DRIVER_NUMBER; LAP_NUMBER; LAP_TIME; LAP_IMPROVEMENT; CROSSING_FINISH_LINE_IN_PIT; S1; S1_IMPROVEMENT; S2; S2_IMPROVEMENT; S3; S3_IMPROVEMENT; KPH; ELAPSED; HOUR;S1_LARGE;S2_LARGE;S3_LARGE;TOP_SPEED;DRIVER_NAME;PIT_TIME;CLASS;GROUP;TEAM;MANUFACTURER;
1;1;1;5:55.383;0;B;2:21.525;0;1:32.290;0;2:01.568;0;136.6;5:55.383;09:05:55.383;2:21.525;1:32.290;2:01.568;234.7;Neel JANI;0:01:42.601;LMP1;;Rebellion Racing;Rebellion;
1;1;2;13:53.719;0;;10:51.918;0;1:21.827;0;1:39.974;0;58.8;19:49.102;09:19:49.102;10:51.918;1:21.827;1:39.974;319.1;Neel JANI;0:10:27.595;LMP1;;Rebellion Racing;Rebellion;
1;1;3;3:29.797;0;;32.699;0;1:19.877;0;1:37.221;0;233.8;23:18.899;09:23:18.899;0:32.699;1:19.877;1:37.221;323.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;4;3:23.442;2;;31.785;0;1:18.711;0;1:32.946;2;241.1;26:42.341;09:26:42.341;0:31.785;1:18.711;1:32.946;322.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;5;3:27.390;0;;33.338;0;1:20.185;0;1:33.867;0;236.5;30:09.731;09:30:09.731;0:33.338;1:20.185;1:33.867;324.9;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;1;6;3:36.557;0;B;31.683;2;1:18.145;2;1:46.729;0;226.5;33:46.288;09:33:46.288;0:31.683;1:18.145;1:46.729;322.0;Neel JANI;;LMP1;;Rebellion Racing;Rebellion;
1;0;7;4:42.154;0;;1:45.873;0;1:21.091;0;1:35.190;0;173.9;38:28.442;09:38:28.442;1:45.873;1:21.091;1:35.190;320.1;André LOTTERER;0:01:21.400;LMP1;;Rebellion Racing;Rebellion;
1;0;8;3:28.883;0;;32.774;1;1:19.587;1;1:36.522;0;234.8;41:57.325;09:41:57.325;0:32.774;1:19.587;1:36.522;323.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
1;0;9;3:26.462;0;;33.238;0;1:19.739;0;1:33.485;1;237.6;45:23.787;09:45:23.787;0:33.238;1:19.739;1:33.485;324.9;André LOTTERER;;LMP1;;Rebellion Racing;Rebellion;
10;1;1;3:39.791;0;;40.682;0;1:22.216;0;1:36.893;0;220.8;3:39.791;09:03:39.791;0:40.682;1:22.216;1:36.893;311.8;Ben HANLEY;0:00:05.734;LMP1;;DragonSpeed;BR Engineering;
10;1;2;3:24.954;0;;32.445;2;1:19.003;0;1:33.506;0;239.3;7:04.745;09:07:04.745;0:32.445;1:19.003;1:33.506;325.8;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;1;3;3:35.253;0;B;33.121;0;1:18.668;0;1:43.464;0;227.9;10:39.998;09:10:39.998;0:33.121;1:18.668;1:43.464;327.8;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
10;0;4;5:27.368;0;;2:20.112;0;1:22.863;0;1:44.393;0;149.8;16:07.366;09:16:07.366;2:20.112;1:22.863;1:44.393;327.8;Henrik HEDMAN;0:01:52.762;LMP1;;DragonSpeed;BR Engineering;
10;0;5;3:33.486;0;;33.489;0;1:21.025;0;1:38.972;0;229.8;19:40.852;09:19:40.852;0:33.489;1:21.025;1:38.972;331.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;0;6;3:44.051;0;;35.277;0;1:27.079;0;1:41.695;0;218.9;23:24.903;09:23:24.903;0:35.277;1:27.079;1:41.695;329.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;0;7;3:34.043;0;;35.195;0;1:20.352;0;1:38.496;0;229.2;26:58.946;09:26:58.946;0:35.195;1:20.352;1:38.496;328.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;0;8;3:34.254;0;;33.184;0;1:20.253;0;1:40.817;0;229.0;30:33.200;09:30:33.200;0:33.184;1:20.253;1:40.817;328.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;0;9;3:31.278;0;;32.737;1;1:20.207;0;1:38.334;1;232.2;34:04.478;09:34:04.478;0:32.737;1:20.207;1:38.334;329.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;0;10;3:39.905;0;B;32.787;0;1:20.190;1;1:46.928;0;223.1;37:44.383;09:37:44.383;0:32.787;1:20.190;1:46.928;325.8;Henrik HEDMAN;;LMP1;;DragonSpeed;BR Engineering;
10;1;11;5:16.785;0;;2:23.692;0;1:19.711;0;1:33.382;0;154.8;43:01.168;09:43:01.168;2:23.692;1:19.711;1:33.382;320.1;Ben HANLEY;0:01:58.776;LMP1;;DragonSpeed;BR Engineering;
10;1;12;3:23.039;2;;32.500;0;1:18.090;2;1:32.449;2;241.6;46:24.207;09:46:24.207;0:32.500;1:18.090;1:32.449;331.8;Ben HANLEY;;LMP1;;DragonSpeed;BR Engineering;
11;2;1;3:45.019;0;;42.819;0;1:23.821;0;1:38.379;1;215.7;3:45.019;09:03:45.019;0:42.819;1:23.821;1:38.379;302.2;Jenson BUTTON;0:00:07.279;LMP1;;SMP Racing;BR Engineering;
11;2;2;3:35.501;0;B;33.176;0;1:19.713;0;1:42.612;0;227.6;7:20.520;09:07:20.520;0:33.176;1:19.713;1:42.612;328.8;Jenson BUTTON;;LMP1;;SMP Racing;BR Engineering;
11;2;3;6:37.669;0;;3:39.280;0;1:19.697;0;1:38.692;0;123.4;13:58.189;09:13:58.189;3:39.280;1:19.697;1:38.692;328.8;Jenson BUTTON;0:03:15.593;LMP1;;SMP Racing;BR Engineering;
11;2;4;3:40.703;0;B;32.573;1;1:19.139;1;1:48.991;0;222.3;17:38.892;09:17:38.892;0:32.573;1:19.139;1:48.991;330.8;Jenson BUTTON;;LMP1;;SMP Racing;BR Engineering;
11;1;5;4:47.867;0;;1:50.654;0;1:21.431;0;1:35.782;0;170.4;22:26.759;09:22:26.759;1:50.654;1:21.431;1:35.782;319.1;Mikhail ALESHIN;0:01:28.071;LMP1;;SMP Racing;BR Engineering;
11;1;6;3:23.549;2;;31.808;2;1:18.165;2;1:33.576;2;241.0;25:50.308;09:25:50.308;0:31.808;1:18.165;1:33.576;329.8;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;1;7;3:42.195;0;B;33.359;0;1:18.442;0;1:50.394;0;220.8;29:32.503;09:29:32.503;0:33.359;1:18.442;1:50.394;331.8;Mikhail ALESHIN;;LMP1;;SMP Racing;BR Engineering;
11;0;8;5:12.079;0;;2:18.026;0;1:19.600;0;1:34.453;1;157.2;34:44.582;09:34:44.582;2:18.026;1:19.600;1:34.453;318.2;Vitaly PETROV;0:01:54.967;LMP1;;SMP Racing;BR Engineering;
11;0;9;3:26.709;0;;31.861;1;1:18.497;1;1:36.351;0;237.3;38:11.291;09:38:11.291;0:31.861;1:18.497;1:36.351;329.8;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
11;0;10;3:44.317;0;B;33.067;0;1:18.962;0;1:52.288;0;218.7;41:55.608;09:41:55.608;0:33.067;1:18.962;1:52.288;331.8;Vitaly PETROV;;LMP1;;SMP Racing;BR Engineering;
17;2;1;3:52.923;0;;52.182;0;1:22.743;0;1:37.998;0;208.4;3:52.923;09:03:52.923;0:52.182;1:22.743;1:37.998;325.8;Matevos ISAAKYAN;0:00:17.848;LMP1;;SMP Racing;BR Engineering;
17;2;2;3:25.071;0;;32.264;0;1:19.013;0;1:33.794;1;239.2;7:17.994;09:07:17.994;0:32.264;1:19.013;1:33.794;322.9;Matevos ISAAKYAN;;LMP1;;SMP Racing;BR Engineering;
17;2;3;3:30.303;0;B;31.968;1;1:18.606;1;1:39.729;0;233.3;10:48.297;09:10:48.297;0:31.968;1:18.606;1:39.729;326.8;Matevos ISAAKYAN;;LMP1;;SMP Racing;BR Engineering;
17;1;4;5:30.323;0;;2:35.596;0;1:20.989;0;1:33.738;2;148.5;16:18.620;09:16:18.620;2:35.596;1:20.989;1:33.738;311.8;Egor ORUDZHEV;0:02:12.257;LMP1;;SMP Racing;BR Engineering;
17;1;5;3:23.314;2;;31.521;3;1:18.051;2;1:33.742;0;241.3;19:41.934;09:19:41.934;0:31.521;1:18.051;1:33.742;330.8;Egor ORUDZHEV;;LMP1;;SMP Racing;BR Engineering;
17;1;6;3:42.096;0;B;35.490;0;1:21.887;0;1:44.719;0;220.9;23:24.030;09:23:24.030;0:35.490;1:21.887;1:44.719;283.9;Egor ORUDZHEV;;LMP1;;SMP Racing;BR Engineering;
17;0;7;5:07.913;0;;2:11.149;0;1:20.081;0;1:36.683;1;159.3;28:31.943;09:28:31.943;2:11.149;1:20.081;1:36.683;330.8;Stéphane SARRAZIN;0:01:48.827;LMP1;;SMP Racing;BR Engineering;
17;0;8;3:37.758;0;B;33.994;0;1:18.443;1;1:45.321;0;225.3;32:09.701;09:32:09.701;0:33.994;1:18.443;1:45.321;331.8;Stéphane SARRAZIN;;LMP1;;SMP Racing;BR Engineering;
17;0;9;9:55.362;0;;6:58.743;0;1:19.722;0;1:36.897;0;82.4;42:05.063;09:42:05.063;6:58.743;1:19.722;1:36.897;331.8;Stéphane SARRAZIN;0:06:36.157;LMP1;;SMP Racing;BR Engineering;
17;0;10;3:36.496;0;B;32.516;1;1:19.313;0;1:44.667;0;226.6;45:41.559;09:45:41.559;0:32.516;1:19.313;1:44.667;329.8;Stéphane SARRAZIN;;LMP1;;SMP Racing;BR Engineering;
22;1;1;3:58.237;0;;51.327;0;1:25.141;0;1:41.769;0;203.7;3:58.237;09:03:58.237;0:51.327;1:25.141;1:41.769;272.5;Filipe ALBUQUERQUE;0:00:15.563;LMP2;;United Autosports;Ligier;
22;1;2;3:31.425;2;;33.421;0;1:20.885;0;1:37.119;2;232.0;7:29.662;09:07:29.662;0:33.421;1:20.885;1:37.119;329.8;Filipe ALBUQUERQUE;;LMP2;;United Autosports;Ligier;
22;1;3;3:44.800;0;B;33.694;0;1:21.100;0;1:50.006;0;218.2;11:14.462;09:11:14.462;0:33.694;1:21.100;1:50.006;329.8;Filipe ALBUQUERQUE;;LMP2;;United Autosports;Ligier;
22;1;4;20:44.191;0;;17:42.553;0;1:21.971;0;1:39.667;0;39.4;31:58.653;09:31:58.653;17:42.553;1:21.971;1:39.667;325.8;Filipe ALBUQUERQUE;0:17:17.748;LMP2;;United Autosports;Ligier;
22;1;5;3:40.863;0;B;33.122;2;1:20.533;2;1:47.208;0;222.1;35:39.516;09:35:39.516;0:33.122;1:20.533;1:47.208;332.9;Filipe ALBUQUERQUE;;LMP2;;United Autosports;Ligier;
22;1;6;9:58.288;0;B;6:50.619;0;1:22.045;0;1:45.624;0;82.0;45:37.804;09:45:37.804;6:50.619;1:22.045;1:45.624;281.0;Filipe ALBUQUERQUE;0:06:23.462;LMP2;;United Autosports;Ligier;
23;0;1;4:22.962;0;;1:09.917;0;1:28.631;0;1:44.414;0;184.6;4:22.962;09:04:22.962;1:09.917;1:28.631;1:44.414;232.1;Timothé BURET;0:00:31.460;LMP2;;Panis Barthez Competition;Ligier;
23;0;2;3:43.228;0;;35.580;0;1:25.248;0;1:42.400;1;219.7;8:06.190;09:08:06.190;0:35.580;1:25.248;1:42.400;305.6;Timothé BURET;;LMP2;;Panis Barthez Competition;Ligier;
23;0;3;3:47.335;0;B;35.496;1;1:23.436;1;1:48.403;0;215.8;11:53.525;09:11:53.525;0:35.496;1:23.436;1:48.403;318.2;Timothé BURET;;LMP2;;Panis Barthez Competition;Ligier;
23;2;4;5:07.926;0;;2:04.061;0;1:23.979;0;1:39.886;0;159.3;17:01.451;09:17:01.451;2:04.061;1:23.979;1:39.886;293.2;William STEVENS;0:01:37.877;LMP2;;Panis Barthez Competition;Ligier;
23;2;5;3:30.919;2;;33.607;2;1:20.755;2;1:36.557;2;232.6;20:32.370;09:20:32.370;0:33.607;1:20.755;1:36.557;329.8;William STEVENS;;LMP2;;Panis Barthez Competition;Ligier;
23;2;6;3:42.832;0;B;34.138;0;1:21.980;0;1:46.714;0;220.1;24:15.202;09:24:15.202;0:34.138;1:21.980;1:46.714;317.2;William STEVENS;;LMP2;;Panis Barthez Competition;Ligier;
23;1;7;9:13.194;0;;6:11.573;0;1:22.451;0;1:39.170;1;88.7;33:28.396;09:33:28.396;6:11.573;1:22.451;1:39.170;327.8;Julien CANAL;0:05:46.664;LMP2;;Panis Barthez Competition;Ligier;
23;1;8;3:40.070;0;B;34.450;0;1:21.212;1;1:44.408;0;222.9;37:08.466;09:37:08.466;0:34.450;1:21.212;1:44.408;326.8;Julien CANAL;;LMP2;;Panis Barthez Competition;Ligier;
23;1;9;4:38.211;0;;1:34.484;0;1:21.868;0;1:41.859;0;176.3;41:46.677;09:41:46.677;1:34.484;1:21.868;1:41.859;324.9;Julien CANAL;0:01:10.870;LMP2;;Panis Barthez Competition;Ligier;
23;1;10;3:42.227;0;B;33.798;1;1:21.367;0;1:47.062;0;220.7;45:28.904;09:45:28.904;0:33.798;1:21.367;1:47.062;326.8;Julien CANAL;;LMP2;;Panis Barthez Competition;Ligier;
25;0;1;6:37.182;0;B;3:10.111;0;1:31.692;0;1:55.379;0;122.2;6:37.182;09:06:37.182;3:10.111;1:31.692;1:55.379;251.0;Mark PATTERSON;0:02:29.842;LMP2;;Algarve Pro Racing;Ligier;
25;0;2;5:13.457;0;;2:06.652;0;1:25.413;0;1:41.392;0;156.5;11:50.639;09:11:50.639;2:06.652;1:25.413;1:41.392;311.8;Mark PATTERSON;0:01:37.175;LMP2;;Algarve Pro Racing;Ligier;
25;0;3;3:39.966;2;;34.439;2;1:24.297;1;1:41.230;2;223.0;15:30.605;09:15:30.605;0:34.439;1:24.297;1:41.230;286.2;Mark PATTERSON;;LMP2;;Algarve Pro Racing;Ligier;
25;0;4;3:49.264;0;B;34.665;0;1:24.360;0;1:50.239;0;214.0;19:19.869;09:19:19.869;0:34.665;1:24.360;1:50.239;289.3;Mark PATTERSON;;LMP2;;Algarve Pro Racing;Ligier;
25;2;5;5:21.369;0;;2:08.495;0;1:26.992;0;1:45.882;0;152.6;24:41.238;09:24:41.238;2:08.495;1:26.992;1:45.882;322.0;Tacksung KIM;0:01:37.343;LMP2;;Algarve Pro Racing;Ligier;
25;2;6;3:42.960;0;;35.531;0;1:24.060;0;1:43.369;0;220.0;28:24.198;09:28:24.198;0:35.531;1:24.060;1:43.369;323.9;Tacksung KIM;;LMP2;;Algarve Pro Racing;Ligier;
25;2;7;3:42.200;0;;35.110;0;1:23.750;2;1:43.340;0;220.8;32:06.398;09:32:06.398;0:35.110;1:23.750;1:43.340;322.9;Tacksung KIM;;LMP2;;Algarve Pro Racing;Ligier;
25;2;8;3:42.839;0;;34.922;1;1:25.345;0;1:42.572;1;220.1;35:49.237;09:35:49.237;0:34.922;1:25.345;1:42.572;323.9;Tacksung KIM;;LMP2;;Algarve Pro Racing;Ligier;
25;2;9;3:57.968;0;B;37.147;0;1:26.627;0;1:54.194;0;206.1;39:47.205;09:39:47.205;0:37.147;1:26.627;1:54.194;322.9;Tacksung KIM;;LMP2;;Algarve Pro Racing;Ligier;
26;2;1;6:43.208;0;;3:36.691;0;1:26.805;0;1:39.712;0;120.4;6:43.208;09:06:43.208;3:36.691;1:26.805;1:39.712;274.6;Jean-Eric VERGNE;0:03:00.557;LMP2;;G-Drive Racing;Oreca;
26;2;2;3:33.004;0;;33.624;0;1:21.997;0;1:37.383;0;230.3;10:16.212;09:10:16.212;0:33.624;1:21.997;1:37.383;317.2;Jean-Eric VERGNE;;LMP2;;G-Drive Racing;Oreca;
26;2;3;3:30.072;2;;33.334;2;1:20.767;2;1:35.971;2;233.5;13:46.284;09:13:46.284;0:33.334;1:20.767;1:35.971;321.0;Jean-Eric VERGNE;;LMP2;;G-Drive Racing;Oreca;
26;2;4;3:51.104;0;B;34.536;0;1:21.652;0;1:54.916;0;212.3;17:37.388;09:17:37.388;0:34.536;1:21.652;1:54.916;326.8;Jean-Eric VERGNE;;LMP2;;G-Drive Racing;Oreca;
28;0;1;4:34.405;0;;1:16.149;0;1:28.999;0;1:49.257;0;176.9;4:34.405;09:04:34.405;1:16.149;1:28.999;1:49.257;286.2;François PERRODO;0:00:35.530;LMP2;;TDS Racing;Oreca;
28;0;2;3:41.993;0;;35.893;0;1:24.326;0;1:41.774;0;221.0;8:16.398;09:08:16.398;0:35.893;1:24.326;1:41.774;297.2;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;0;3;3:36.908;0;;34.318;0;1:22.382;0;1:40.208;0;226.1;11:53.306;09:11:53.306;0:34.318;1:22.382;1:40.208;323.9;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;0;4;3:37.762;0;;34.456;0;1:22.518;0;1:40.788;0;225.3;15:31.068;09:15:31.068;0:34.456;1:22.518;1:40.788;325.8;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;0;5;3:37.009;0;;34.685;0;1:22.885;0;1:39.439;0;226.0;19:08.077;09:19:08.077;0:34.685;1:22.885;1:39.439;324.9;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;0;6;3:42.364;0;;35.909;0;1:24.101;0;1:42.354;0;220.6;22:50.441;09:22:50.441;0:35.909;1:24.101;1:42.354;322.0;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;0;7;3:37.700;0;;34.554;0;1:22.104;0;1:41.042;0;225.3;26:28.141;09:26:28.141;0:34.554;1:22.104;1:41.042;327.8;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;0;8;3:34.099;0;;34.169;0;1:21.430;0;1:38.500;2;229.1;30:02.240;09:30:02.240;0:34.169;1:21.430;1:38.500;324.9;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;0;9;3:42.814;0;B;33.804;1;1:20.878;1;1:48.132;0;220.2;33:45.054;09:33:45.054;0:33.804;1:20.878;1:48.132;326.8;François PERRODO;;LMP2;;TDS Racing;Oreca;
28;1;10;8:49.601;0;;5:43.105;0;1:24.582;0;1:41.914;0;92.6;42:34.655;09:42:34.655;5:43.105;1:24.582;1:41.914;304.7;Matthieu VAXIVIERE;0:05:19.229;LMP2;;TDS Racing;Oreca;
28;1;11;3:32.361;2;;32.889;2;1:20.056;2;1:39.416;1;231.0;46:07.016;09:46:07.016;0:32.889;1:20.056;1:39.416;327.8;Matthieu VAXIVIERE;;LMP2;;TDS Racing;Oreca;
29;1;1;3:53.889;0;;44.791;0;1:26.424;0;1:42.674;0;207.5;3:53.889;09:03:53.889;0:44.791;1:26.424;1:42.674;291.6;Giedo VAN DER GARDE;0:00:08.593;LMP2;;Racing Team Nederland;Dallara;
29;1;2;3:35.285;2;;34.396;0;1:22.573;0;1:38.316;2;227.9;7:29.174;09:07:29.174;0:34.396;1:22.573;1:38.316;322.9;Giedo VAN DER GARDE;;LMP2;;Racing Team Nederland;Dallara;
29;1;3;3:39.607;0;B;33.677;2;1:21.185;2;1:44.745;0;223.4;11:08.781;09:11:08.781;0:33.677;1:21.185;1:44.745;325.8;Giedo VAN DER GARDE;;LMP2;;Racing Team Nederland;Dallara;
29;2;4;5:18.974;0;;2:11.956;0;1:24.656;0;1:42.362;0;153.8;16:27.755;09:16:27.755;2:11.956;1:24.656;1:42.362;322.0;Jan LAMMERS;0:01:45.102;LMP2;;Racing Team Nederland;Dallara;
29;2;5;3:38.286;0;;34.891;0;1:22.955;0;1:40.440;0;224.7;20:06.041;09:20:06.041;0:34.891;1:22.955;1:40.440;327.8;Jan LAMMERS;;LMP2;;Racing Team Nederland;Dallara;
29;2;6;3:37.314;0;;34.527;0;1:22.636;1;1:40.151;1;225.7;23:43.355;09:23:43.355;0:34.527;1:22.636;1:40.151;325.8;Jan LAMMERS;;LMP2;;Racing Team Nederland;Dallara;
29;2;7;3:44.233;0;B;34.241;1;1:22.757;0;1:47.235;0;218.8;27:27.588;09:27:27.588;0:34.241;1:22.757;1:47.235;330.8;Jan LAMMERS;;LMP2;;Racing Team Nederland;Dallara;
29;0;8;10:55.742;0;;7:40.714;0;1:28.036;0;1:46.992;0;74.8;38:23.330;09:38:23.330;7:40.714;1:28.036;1:46.992;294.8;Frits VAN EERD;0:07:09.072;LMP2;;Racing Team Nederland;Dallara;
29;0;9;3:41.671;0;;34.947;1;1:23.206;1;1:43.518;1;221.3;42:05.001;09:42:05.001;0:34.947;1:23.206;1:43.518;328.8;Frits VAN EERD;;LMP2;;Racing Team Nederland;Dallara;
29;0;10;3:54.243;0;B;35.998;0;1:24.476;0;1:53.769;0;209.4;45:59.244;09:45:59.244;0:35.998;1:24.476;1:53.769;327.8;Frits VAN EERD;;LMP2;;Racing Team Nederland;Dallara;
3;1;1;4:36.433;0;B;1:12.168;0;1:31.462;0;1:52.803;0;175.6;4:36.433;09:04:36.433;1:12.168;1:31.462;1:52.803;219.9;Mathias BECHE;0:00:32.461;LMP1;;Rebellion Racing;Rebellion;
3;1;2;15:31.319;0;B;12:25.202;0;1:22.379;0;1:43.738;0;52.7;20:07.752;09:20:07.752;12:25.202;1:22.379;1:43.738;317.2;Mathias BECHE;0:12:01.138;LMP1;;Rebellion Racing;Rebellion;
3;1;3;14:26.477;0;B;11:10.899;0;1:21.540;1;1:54.038;0;56.6;34:34.229;09:34:34.229;11:10.899;1:21.540;1:54.038;320.1;Mathias BECHE;0:10:44.622;LMP1;;Rebellion Racing;Rebellion;
3;2;4;5:27.296;0;B;2:23.849;0;1:22.347;1;1:41.100;0;149.9;40:01.525;09:40:01.525;2:23.849;1:22.347;1:41.100;310.9;Gustavo MENEZES;0:02:00.496;LMP1;;Rebellion Racing;Rebellion;
3;0;5;5:42.037;0;;2:48.378;0;1:19.910;2;1:33.749;2;143.4;45:43.562;09:45:43.562;2:48.378;1:19.910;1:33.749;320.1;Thomas LAURENT;0:02:25.401;LMP1;;Rebellion Racing;Rebellion;
31;2;1;4:19.181;0;B;1:00.762;0;1:28.153;0;1:50.266;0;187.2;4:19.181;09:04:19.181;1:00.762;1:28.153;1:50.266;273.9;Nathanaël BERTHON;0:00:23.128;LMP2;;DragonSpeed;Oreca;
31;2;2;7:43.397;0;;4:33.915;0;1:22.392;0;1:47.090;0;105.9;12:02.578;09:12:02.578;4:33.915;1:22.392;1:47.090;329.8;Nathanaël BERTHON;0:04:08.114;LMP2;;DragonSpeed;Oreca;
31;2;3;3:34.589;0;;33.442;2;1:21.770;0;1:39.377;0;228.6;15:37.167;09:15:37.167;0:33.442;1:21.770;1:39.377;325.8;Nathanaël BERTHON;;LMP2;;DragonSpeed;Oreca;
31;2;4;3:33.617;2;;34.326;0;1:21.843;0;1:37.448;2;229.6;19:10.784;09:19:10.784;0:34.326;1:21.843;1:37.448;326.8;Nathanaël BERTHON;;LMP2;;DragonSpeed;Oreca;
31;2;5;4:01.202;0;B;33.593;0;1:20.976;2;2:06.633;0;203.4;23:11.986;09:23:11.986;0:33.593;1:20.976;2:06.633;329.8;Nathanaël BERTHON;;LMP2;;DragonSpeed;Oreca;
32;0;1;3:55.805;0;;47.854;0;1:25.077;0;1:42.874;0;205.8;3:55.805;09:03:55.805;0:47.854;1:25.077;1:42.874;310.0;Hugo DE SADELEER;0:00:11.712;LMP2;;United Autosports;Ligier;
32;0;2;3:35.923;0;;34.056;0;1:21.892;0;1:39.975;0;227.2;7:31.728;09:07:31.728;0:34.056;1:21.892;1:39.975;326.8;Hugo DE SADELEER;;LMP2;;United Autosports;Ligier;
32;0;3;3:32.519;2;;33.682;2;1:21.178;2;1:37.659;2;230.8;11:04.247;09:11:04.247;0:33.682;1:21.178;1:37.659;328.8;Hugo DE SADELEER;;LMP2;;United Autosports;Ligier;
32;0;4;3:46.252;0;B;35.391;0;1:22.720;0;1:48.141;0;216.8;14:50.499;09:14:50.499;0:35.391;1:22.720;1:48.141;305.6;Hugo DE SADELEER;;LMP2;;United Autosports;Ligier;
33;1;1;8:03.420;0;;4:51.038;0;1:27.785;0;1:44.597;0;100.4;8:03.420;09:08:03.420;4:51.038;1:27.785;1:44.597;304.7;Nicholas BOULLE;0:04:12.245;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;2;3:40.186;0;;35.832;0;1:23.505;0;1:40.849;0;222.8;11:43.606;09:11:43.606;0:35.832;1:23.505;1:40.849;324.9;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;3;3:38.505;2;;35.216;0;1:23.215;0;1:40.074;2;224.5;15:22.111;09:15:22.111;0:35.216;1:23.215;1:40.074;327.8;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;4;3:40.798;0;;34.449;2;1:22.875;2;1:43.474;0;222.2;19:02.909;09:19:02.909;0:34.449;1:22.875;1:43.474;324.9;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;5;3:47.306;0;B;34.715;0;1:22.929;0;1:49.662;0;215.8;22:50.215;09:22:50.215;0:34.715;1:22.929;1:49.662;323.9;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;6;7:52.072;0;;4:46.427;0;1:24.213;0;1:41.432;0;103.9;30:42.287;09:30:42.287;4:46.427;1:24.213;1:41.432;322.0;Nicholas BOULLE;0:04:20.791;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;7;3:44.986;0;;37.302;0;1:24.540;0;1:43.144;0;218.0;34:27.273;09:34:27.273;0:37.302;1:24.540;1:43.144;302.2;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;8;3:42.883;0;;35.746;0;1:23.293;0;1:43.844;0;220.1;38:10.156;09:38:10.156;0:35.746;1:23.293;1:43.844;316.3;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;9;3:42.856;0;;38.585;0;1:23.068;0;1:41.203;0;220.1;41:53.012;09:41:53.012;0:38.585;1:23.068;1:41.203;329.8;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
33;1;10;3:52.575;0;B;36.182;0;1:24.427;0;1:51.966;0;210.9;45:45.587;09:45:45.587;0:36.182;1:24.427;1:51.966;307.3;Nicholas BOULLE;;LMP2;;Jackie Chan DC Racing;Ligier;
34;0;1;11:06.996;0;;7:55.775;0;1:23.962;0;1:47.259;0;72.8;11:06.996;09:11:06.996;7:55.775;1:23.962;1:47.259;318.2;Ricky TAYLOR;0:07:20.775;LMP2;;Jackie Chan DC Racing;Ligier;
34;0;2;3:34.445;0;;33.277;0;1:21.618;0;1:39.550;0;228.7;14:41.441;09:14:41.441;0:33.277;1:21.618;1:39.550;328.8;Ricky TAYLOR;;LMP2;;Jackie Chan DC Racing;Ligier;
34;0;3;3:29.466;2;;33.125;0;1:20.265;0;1:36.076;2;234.2;18:10.907;09:18:10.907;0:33.125;1:20.265;1:36.076;327.8;Ricky TAYLOR;;LMP2;;Jackie Chan DC Racing;Ligier;
34;0;4;3:36.872;0;B;33.062;2;1:20.159;0;1:43.651;0;226.2;21:47.779;09:21:47.779;0:33.062;1:20.159;1:43.651;330.8;Ricky TAYLOR;;LMP2;;Jackie Chan DC Racing;Ligier;
34;0;5;10:59.803;0;;8:01.867;0;1:21.242;0;1:36.694;0;74.3;32:47.582;09:32:47.582;8:01.867;1:21.242;1:36.694;328.8;Ricky TAYLOR;0:07:36.348;LMP2;;Jackie Chan DC Racing;Ligier;
34;0;6;3:31.779;0;;33.859;0;1:21.607;0;1:36.313;0;231.6;36:19.361;09:36:19.361;0:33.859;1:21.607;1:36.313;322.9;Ricky TAYLOR;;LMP2;;Jackie Chan DC Racing;Ligier;
